"No.","Time","Source","Destination","Protocol","Length","Info"
"23","1.439824022","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 28946; Unit:   1, Func:   6: Write Single Register"
"24","1.440281156","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 41247; Unit:   1, Func:   6: Write Single Register"
"25","1.440286296","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=68 Ack=73 Win=65152 Len=0 TSval=2155729128 TSecr=445174959"
"26","1.440583454","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 41247; Unit:   1, Func:   6: Write Single Register"
"27","1.483549675","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=73 Ack=80 Win=64256 Len=0 TSval=445175002 TSecr=2155729128"
"28","2.323336099","192.168.56.1","224.0.0.251","MDNS","404","Standard query response 0x0000 TXT, cache flush"
"29","2.424123399","192.168.56.1","224.0.0.251","MDNS","404","Standard query response 0x0000 TXT, cache flush"
"30","2.524122293","192.168.56.1","224.0.0.251","MDNS","105","Standard query response 0x0000 PTR Desktop-62fvk98._nomachine._tcp.local"
"31","6.548188679","PcsCompu_75:69:b0","PcsCompu_22:46:4f","ARP","42","Who has 192.168.56.114? Tell 192.168.56.113"
"32","6.548656554","PcsCompu_22:46:4f","PcsCompu_75:69:b0","ARP","60","192.168.56.114 is at 08:00:27:22:46:4f"
"33","6.681289815","PcsCompu_22:46:4f","PcsCompu_75:69:b0","ARP","60","Who has 192.168.56.113? Tell 192.168.56.114"
"34","6.681302749","PcsCompu_75:69:b0","PcsCompu_22:46:4f","ARP","42","192.168.56.113 is at 08:00:27:75:69:b0"
"35","7.427915490","192.168.56.113","192.168.56.100","DHCP","331","DHCP Request  - Transaction ID 0x31ae3e4c"
"36","7.430499306","192.168.56.100","192.168.56.113","DHCP","590","DHCP ACK      - Transaction ID 0x31ae3e4c"
"37","7.444658335","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 25748; Unit:   1, Func:   3: Read Holding Registers"
"38","7.444682832","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=80 Ack=85 Win=65152 Len=0 TSval=2155735132 TSecr=445180961"
"39","7.445209920","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 25748; Unit:   1, Func:   3: Read Holding Registers"
"40","7.445585027","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=85 Ack=99 Win=64256 Len=0 TSval=445180962 TSecr=2155735133"
"41","7.445758329","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 31454; Unit:   1, Func:   6: Write Single Register"
"42","7.445762166","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=99 Ack=97 Win=65152 Len=0 TSval=2155735133 TSecr=445180962"
"43","7.446061719","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 31454; Unit:   1, Func:   6: Write Single Register"
"44","7.446462305","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 61654; Unit:   1, Func:   6: Write Single Register"
"45","7.446467455","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=111 Ack=109 Win=65152 Len=0 TSval=2155735134 TSecr=445180962"
"46","7.446758041","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 61654; Unit:   1, Func:   6: Write Single Register"
"47","7.447148307","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:   284; Unit:   1, Func:   6: Write Single Register"
"48","7.447153487","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=123 Ack=121 Win=65152 Len=0 TSval=2155735135 TSecr=445180963"
"49","7.447512413","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans:   284; Unit:   1, Func:   6: Write Single Register"
"50","7.447894213","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 46716; Unit:   1, Func:   6: Write Single Register"
"51","7.447899403","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=135 Ack=133 Win=65152 Len=0 TSval=2155735135 TSecr=445180964"
"52","7.448276294","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 46716; Unit:   1, Func:   6: Write Single Register"
"53","7.448659226","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 58507; Unit:   1, Func:   6: Write Single Register"
"54","7.448664276","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=147 Ack=145 Win=65152 Len=0 TSval=2155735136 TSecr=445180965"
"55","7.448975561","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 58507; Unit:   1, Func:   6: Write Single Register"
"56","7.493464224","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=145 Ack=159 Win=64256 Len=0 TSval=445181009 TSecr=2155735137"
"57","8.463305930","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 30502; Unit:   1, Func:   3: Read Holding Registers"
"58","8.463329465","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=159 Ack=157 Win=65152 Len=0 TSval=2155736151 TSecr=445181979"
"59","8.463910096","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 30502; Unit:   1, Func:   3: Read Holding Registers"
"60","8.464391306","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=157 Ack=178 Win=64256 Len=0 TSval=445181980 TSecr=2155736151"
"61","8.464391617","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 37984; Unit:   1, Func:   6: Write Single Register"
"62","8.464613781","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 37984; Unit:   1, Func:   6: Write Single Register"
"63","8.465029382","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:  6452; Unit:   1, Func:   6: Write Single Register"
"64","8.465209025","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans:  6452; Unit:   1, Func:   6: Write Single Register"
"65","8.465773706","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 22749; Unit:   1, Func:   6: Write Single Register"
"66","8.465943802","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 22749; Unit:   1, Func:   6: Write Single Register"
"67","8.466380155","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 30594; Unit:   1, Func:   6: Write Single Register"
"68","8.466528579","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 30594; Unit:   1, Func:   6: Write Single Register"
"69","8.466925678","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 58525; Unit:   1, Func:   6: Write Single Register"
"70","8.467058773","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 58525; Unit:   1, Func:   6: Write Single Register"
"71","8.509996670","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=217 Ack=238 Win=64256 Len=0 TSval=445182025 TSecr=2155736155"
"72","12.436249788","PcsCompu_75:69:b0","PcsCompu_d7:d4:36","ARP","42","Who has 192.168.56.100? Tell 192.168.56.113"
"73","12.436492773","PcsCompu_d7:d4:36","PcsCompu_75:69:b0","ARP","60","192.168.56.100 is at 08:00:27:d7:d4:36"
"74","17.479410972","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 27752; Unit:   1, Func:   3: Read Holding Registers"
"75","17.479754219","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 27752; Unit:   1, Func:   3: Read Holding Registers"
"76","17.480177628","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=229 Ack=257 Win=64256 Len=0 TSval=445190991 TSecr=2155745167"
"77","17.480357001","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 28870; Unit:   1, Func:   6: Write Single Register"
"78","17.480568817","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 28870; Unit:   1, Func:   6: Write Single Register"
"79","17.481092683","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 26505; Unit:   1, Func:   6: Write Single Register"
"80","17.481284570","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 26505; Unit:   1, Func:   6: Write Single Register"
"81","17.481755882","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 42542; Unit:   1, Func:   6: Write Single Register"
"82","17.481912090","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 42542; Unit:   1, Func:   6: Write Single Register"
"83","17.482407773","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 37608; Unit:   1, Func:   6: Write Single Register"
"84","17.482551498","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 37608; Unit:   1, Func:   6: Write Single Register"
"85","17.483008036","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 38119; Unit:   1, Func:   6: Write Single Register"
"86","17.483160949","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 38119; Unit:   1, Func:   6: Write Single Register"
"87","17.527431685","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=289 Ack=317 Win=64256 Len=0 TSval=445191038 TSecr=2155745171"
"88","25.532634889","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:  9200; Unit:   1, Func:   3: Read Holding Registers"
"89","25.533003394","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans:  9200; Unit:   1, Func:   3: Read Holding Registers"
"90","25.533402247","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=301 Ack=336 Win=64256 Len=0 TSval=445199040 TSecr=2155753221"
"91","25.533604433","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:  1755; Unit:   1, Func:   6: Write Single Register"
"92","25.533758618","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans:  1755; Unit:   1, Func:   6: Write Single Register"
"93","25.534381189","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 62989; Unit:   1, Func:   6: Write Single Register"
"94","25.534506939","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 62989; Unit:   1, Func:   6: Write Single Register"
"95","25.534935810","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 54598; Unit:   1, Func:   6: Write Single Register"
"96","25.535054817","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 54598; Unit:   1, Func:   6: Write Single Register"
"97","25.535457056","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 44971; Unit:   1, Func:   6: Write Single Register"
"98","25.535569331","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 44971; Unit:   1, Func:   6: Write Single Register"
"99","25.536030493","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 45253; Unit:   1, Func:   6: Write Single Register"
"100","25.536142838","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 45253; Unit:   1, Func:   6: Write Single Register"
"101","25.578527607","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=361 Ack=396 Win=64256 Len=0 TSval=445199085 TSecr=2155753224"
"102","27.713107092","PcsCompu_61:d2:3d","Broadcast","ARP","60","Who has 192.168.56.113? Tell 192.168.56.112"
"103","27.713136087","PcsCompu_75:69:b0","PcsCompu_61:d2:3d","ARP","42","192.168.56.113 is at 08:00:27:75:69:b0"
"104","27.713425431","192.168.56.112","192.168.56.113","TCP","74","33942  >  502 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2447030801 TSecr=0 WS=128"
"105","27.713445860","192.168.56.113","192.168.56.112","TCP","74","502  >  33942 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2103398511 TSecr=2447030801 WS=128"
"106","27.713693563","192.168.56.112","192.168.56.113","TCP","66","33942  >  502 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2447030802 TSecr=2103398511"
"107","27.720785124","192.168.56.112","192.168.56.113","Modbus/TCP","78","   Query: Trans:     0; Unit: 255, Func:   1: Read Coils"
"108","27.720805383","192.168.56.113","192.168.56.112","TCP","66","502  >  33942 [ACK] Seq=1 Ack=13 Win=65152 Len=0 TSval=2103398518 TSecr=2447030809"
"109","27.721368550","192.168.56.113","192.168.56.112","Modbus/TCP","75","Response: Trans:     0; Unit: 255, Func:   1: Read Coils. Exception returned "
"110","27.721718119","192.168.56.112","192.168.56.113","TCP","66","33942  >  502 [ACK] Seq=13 Ack=10 Win=64256 Len=0 TSval=2447030810 TSecr=2103398519"
"111","28.539757675","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:  2955; Unit:   1, Func:   3: Read Holding Registers"
"112","28.540132211","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans:  2955; Unit:   1, Func:   3: Read Holding Registers"
"113","28.540440862","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=373 Ack=415 Win=64256 Len=0 TSval=445202046 TSecr=2155756228"
"114","28.540665992","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 57985; Unit:   1, Func:   6: Write Single Register"
"115","28.540953702","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 57985; Unit:   1, Func:   6: Write Single Register"
"116","28.541349930","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 12650; Unit:   1, Func:   6: Write Single Register"
"117","28.541491671","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 12650; Unit:   1, Func:   6: Write Single Register"
"118","28.541881727","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 55739; Unit:   1, Func:   6: Write Single Register"
"119","28.542023188","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 55739; Unit:   1, Func:   6: Write Single Register"
"120","28.542410478","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 22111; Unit:   1, Func:   6: Write Single Register"
"121","28.542540056","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 22111; Unit:   1, Func:   6: Write Single Register"
"122","28.542931966","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 36293; Unit:   1, Func:   6: Write Single Register"
"123","28.543065802","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 36293; Unit:   1, Func:   6: Write Single Register"
"124","28.588617868","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=433 Ack=475 Win=64256 Len=0 TSval=445202094 TSecr=2155756231"
"125","29.545436193","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 26093; Unit:   1, Func:   3: Read Holding Registers"
"126","29.545755644","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 26093; Unit:   1, Func:   3: Read Holding Registers"
"127","29.546109961","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=445 Ack=494 Win=64256 Len=0 TSval=445203051 TSecr=2155757233"
"128","29.546277161","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 59450; Unit:   1, Func:   6: Write Single Register"
"129","29.546425224","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 59450; Unit:   1, Func:   6: Write Single Register"
"130","29.546850768","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 61961; Unit:   1, Func:   6: Write Single Register"
"131","29.546985155","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 61961; Unit:   1, Func:   6: Write Single Register"
"132","29.547390500","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 29519; Unit:   1, Func:   6: Write Single Register"
"133","29.547523344","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 29519; Unit:   1, Func:   6: Write Single Register"
"134","29.547973671","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 30480; Unit:   1, Func:   6: Write Single Register"
"135","29.548145349","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 30480; Unit:   1, Func:   6: Write Single Register"
"136","29.548611861","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 53538; Unit:   1, Func:   6: Write Single Register"
"137","29.548741659","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 53538; Unit:   1, Func:   6: Write Single Register"
"138","29.549998769","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 60583; Unit:   1, Func:   3: Read Holding Registers"
"139","29.550191647","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 60583; Unit:   1, Func:   3: Read Holding Registers"
"140","29.550640786","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 15151; Unit:   1, Func:   6: Write Single Register"
"141","29.550788729","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 15151; Unit:   1, Func:   6: Write Single Register"
"142","29.551218722","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 54825; Unit:   1, Func:   6: Write Single Register"
"143","29.551365593","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 54825; Unit:   1, Func:   6: Write Single Register"
"144","29.551800264","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:  6296; Unit:   1, Func:   6: Write Single Register"
"145","29.551947766","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans:  6296; Unit:   1, Func:   6: Write Single Register"
"146","29.552409409","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 26541; Unit:   1, Func:   6: Write Single Register"
"147","29.552561229","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 26541; Unit:   1, Func:   6: Write Single Register"
"148","29.553137783","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans:  5350; Unit:   1, Func:   6: Write Single Register"
"149","29.553318930","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans:  5350; Unit:   1, Func:   6: Write Single Register"
"150","29.598885553","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=577 Ack=633 Win=64256 Len=0 TSval=445203104 TSecr=2155757241"
"151","32.609351542","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 32415; Unit:   1, Func:   3: Read Holding Registers"
"152","32.609747038","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 32415; Unit:   1, Func:   3: Read Holding Registers"
"153","32.610143457","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=589 Ack=652 Win=64256 Len=0 TSval=445206113 TSecr=2155760297"
"154","32.610330264","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 36144; Unit:   1, Func:   6: Write Single Register"
"155","32.610452247","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 36144; Unit:   1, Func:   6: Write Single Register"
"156","32.610819309","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 55086; Unit:   1, Func:   6: Write Single Register"
"157","32.610932987","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 55086; Unit:   1, Func:   6: Write Single Register"
"158","32.611290039","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 53473; Unit:   1, Func:   6: Write Single Register"
"159","32.611402024","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 53473; Unit:   1, Func:   6: Write Single Register"
"160","32.611762653","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 49108; Unit:   1, Func:   6: Write Single Register"
"161","32.611873625","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 49108; Unit:   1, Func:   6: Write Single Register"
"162","32.612328135","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 57187; Unit:   1, Func:   6: Write Single Register"
"163","32.612438155","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 57187; Unit:   1, Func:   6: Write Single Register"
"164","32.660871011","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=649 Ack=712 Win=64256 Len=0 TSval=445206164 TSecr=2155760300"
"165","32.746505433","192.168.56.112","192.168.56.113","TCP","66","33942  >  502 [FIN, ACK] Seq=13 Ack=10 Win=64256 Len=0 TSval=2447035832 TSecr=2103398519"
"166","32.746792783","192.168.56.113","192.168.56.112","TCP","66","502  >  33942 [FIN, ACK] Seq=10 Ack=14 Win=65152 Len=0 TSval=2103403544 TSecr=2447035832"
"167","32.747167810","192.168.56.112","192.168.56.113","TCP","66","33942  >  502 [ACK] Seq=14 Ack=11 Win=64256 Len=0 TSval=2447035832 TSecr=2103403544"
"168","32.755314149","192.168.56.112","192.168.56.113","TCP","74","56152  >  502 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2447035840 TSecr=0 WS=128"
"169","32.755334659","192.168.56.113","192.168.56.112","TCP","74","502  >  56152 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2103403553 TSecr=2447035840 WS=128"
"170","32.755719925","192.168.56.112","192.168.56.113","TCP","66","56152  >  502 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2447035841 TSecr=2103403553"
"171","32.764227386","192.168.56.112","192.168.56.113","Modbus/TCP","78","   Query: Trans:   256; Unit: 255, Func:   1: Read Coils"
"172","32.764252183","192.168.56.113","192.168.56.112","TCP","66","502  >  56152 [ACK] Seq=1 Ack=13 Win=65152 Len=0 TSval=2103403562 TSecr=2447035849"
"173","32.764764643","192.168.56.113","192.168.56.112","Modbus/TCP","75","Response: Trans:   256; Unit: 255, Func:   1: Read Coils. Exception returned "
"174","32.765114091","192.168.56.112","192.168.56.113","TCP","66","56152  >  502 [ACK] Seq=13 Ack=10 Win=64256 Len=0 TSval=2447035850 TSecr=2103403562"
"175","37.780999121","192.168.56.112","192.168.56.113","TCP","66","56152  >  502 [FIN, ACK] Seq=13 Ack=10 Win=64256 Len=0 TSval=2447040864 TSecr=2103403562"
"176","37.781222748","192.168.56.113","192.168.56.112","TCP","66","502  >  56152 [FIN, ACK] Seq=10 Ack=14 Win=65152 Len=0 TSval=2103408579 TSecr=2447040864"
"177","37.781564993","192.168.56.112","192.168.56.113","TCP","66","56152  >  502 [ACK] Seq=14 Ack=11 Win=64256 Len=0 TSval=2447040864 TSecr=2103408579"
"178","37.789576234","192.168.56.112","192.168.56.113","TCP","74","56154  >  502 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2447040872 TSecr=0 WS=128"
"179","37.789597995","192.168.56.113","192.168.56.112","TCP","74","502  >  56154 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2103408587 TSecr=2447040872 WS=128"
"180","37.789955579","192.168.56.112","192.168.56.113","TCP","66","56154  >  502 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2447040873 TSecr=2103408587"
"181","37.796272240","192.168.56.112","192.168.56.113","Modbus/TCP","78","   Query: Trans:   512; Unit: 255, Func:   1: Read Coils"
"182","37.796287278","192.168.56.113","192.168.56.112","TCP","66","502  >  56154 [ACK] Seq=1 Ack=13 Win=65152 Len=0 TSval=2103408594 TSecr=2447040879"
"183","37.796769781","192.168.56.113","192.168.56.112","Modbus/TCP","75","Response: Trans:   512; Unit: 255, Func:   1: Read Coils. Exception returned "
"184","37.797133587","192.168.56.112","192.168.56.113","TCP","66","56154  >  502 [ACK] Seq=13 Ack=10 Win=64256 Len=0 TSval=2447040880 TSecr=2103408594"
"185","39.616801105","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 60610; Unit:   1, Func:   3: Read Holding Registers"
"186","39.617150944","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 60610; Unit:   1, Func:   3: Read Holding Registers"
"187","39.617419718","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=661 Ack=731 Win=64256 Len=0 TSval=445213117 TSecr=2155767305"
"188","39.617806217","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 26574; Unit:   1, Func:   6: Write Single Register"
